7.142857142857143016e-01;1.047619047619047672e+00;8.000000000000000000e+00;5.000000000000000000e+00;8.000000000000000000e+00;1.062500000000000000e+00;1.437500000000000000e+00;9.000000000000000000e+00;9.000000000000000000e+00;1.400000000000000000e+01;0.000000000000000000e+00
1.062500000000000000e+00;1.437500000000000000e+00;9.000000000000000000e+00;9.000000000000000000e+00;1.400000000000000000e+01;7.142857142857143016e-01;1.047619047619047672e+00;8.000000000000000000e+00;5.000000000000000000e+00;8.000000000000000000e+00;1.000000000000000000e+00
1.272727272727272707e+00;9.545454545454545858e-01;5.000000000000000000e+00;1.100000000000000000e+01;6.000000000000000000e+00;5.238095238095238360e-01;1.428571428571428603e+00;7.000000000000000000e+00;3.000000000000000000e+00;1.100000000000000000e+01;2.000000000000000000e+00
5.238095238095238360e-01;1.428571428571428603e+00;7.000000000000000000e+00;3.000000000000000000e+00;1.100000000000000000e+01;1.272727272727272707e+00;9.545454545454545858e-01;5.000000000000000000e+00;1.100000000000000000e+01;6.000000000000000000e+00;0.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.055555555555555580e+00;1.166666666666666741e+00;6.000000000000000000e+00;5.000000000000000000e+00;7.000000000000000000e+00;0.000000000000000000e+00
1.055555555555555580e+00;1.166666666666666741e+00;6.000000000000000000e+00;5.000000000000000000e+00;7.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;2.000000000000000000e+00
7.916666666666666297e-01;1.250000000000000000e+00;8.000000000000000000e+00;5.000000000000000000e+00;1.100000000000000000e+01;1.125000000000000000e+00;1.062500000000000000e+00;6.000000000000000000e+00;6.000000000000000000e+00;4.000000000000000000e+00;2.000000000000000000e+00
1.125000000000000000e+00;1.062500000000000000e+00;6.000000000000000000e+00;6.000000000000000000e+00;4.000000000000000000e+00;7.916666666666666297e-01;1.250000000000000000e+00;8.000000000000000000e+00;5.000000000000000000e+00;1.100000000000000000e+01;2.000000000000000000e+00
1.066666666666666652e+00;1.199999999999999956e+00;1.300000000000000000e+01;8.000000000000000000e+00;9.000000000000000000e+00;2.222222222222222099e-01;1.555555555555555580e+00;2.000000000000000000e+00;0.000000000000000000e+00;7.000000000000000000e+00;2.000000000000000000e+00
2.222222222222222099e-01;1.555555555555555580e+00;2.000000000000000000e+00;0.000000000000000000e+00;7.000000000000000000e+00;1.066666666666666652e+00;1.199999999999999956e+00;1.300000000000000000e+01;8.000000000000000000e+00;9.000000000000000000e+00;0.000000000000000000e+00
8.888888888888888395e-01;1.722222222222222321e+00;2.000000000000000000e+00;5.000000000000000000e+00;1.100000000000000000e+01;1.500000000000000000e+00;8.125000000000000000e-01;7.000000000000000000e+00;7.000000000000000000e+00;2.000000000000000000e+00;1.000000000000000000e+00
1.500000000000000000e+00;8.125000000000000000e-01;7.000000000000000000e+00;7.000000000000000000e+00;2.000000000000000000e+00;8.888888888888888395e-01;1.722222222222222321e+00;2.000000000000000000e+00;5.000000000000000000e+00;1.100000000000000000e+01;1.000000000000000000e+00
1.000000000000000000e+00;1.699999999999999956e+00;2.000000000000000000e+00;2.000000000000000000e+00;6.000000000000000000e+00;8.333333333333333703e-01;1.500000000000000000e+00;4.000000000000000000e+00;1.000000000000000000e+00;7.000000000000000000e+00;2.000000000000000000e+00
8.333333333333333703e-01;1.500000000000000000e+00;4.000000000000000000e+00;1.000000000000000000e+00;7.000000000000000000e+00;1.000000000000000000e+00;1.699999999999999956e+00;2.000000000000000000e+00;2.000000000000000000e+00;6.000000000000000000e+00;0.000000000000000000e+00
1.166666666666666741e+00;9.000000000000000222e-01;4.000000000000000000e+00;1.300000000000000000e+01;1.300000000000000000e+01;1.333333333333333259e+00;1.333333333333333259e+00;5.000000000000000000e+00;4.000000000000000000e+00;3.000000000000000000e+00;3.000000000000000000e+00
1.333333333333333259e+00;1.333333333333333259e+00;5.000000000000000000e+00;4.000000000000000000e+00;3.000000000000000000e+00;1.166666666666666741e+00;9.000000000000000222e-01;4.000000000000000000e+00;1.300000000000000000e+01;1.300000000000000000e+01;2.000000000000000000e+00
9.333333333333333481e-01;1.133333333333333304e+00;8.000000000000000000e+00;3.000000000000000000e+00;4.000000000000000000e+00;9.000000000000000222e-01;2.000000000000000000e+00;3.000000000000000000e+00;5.000000000000000000e+00;1.200000000000000000e+01;1.000000000000000000e+00
9.000000000000000222e-01;2.000000000000000000e+00;3.000000000000000000e+00;5.000000000000000000e+00;1.200000000000000000e+01;9.333333333333333481e-01;1.133333333333333304e+00;8.000000000000000000e+00;3.000000000000000000e+00;4.000000000000000000e+00;0.000000000000000000e+00
1.380952380952380931e+00;1.380952380952380931e+00;3.000000000000000000e+00;9.000000000000000000e+00;9.000000000000000000e+00;1.090909090909090828e+00;1.181818181818181879e+00;3.000000000000000000e+00;4.000000000000000000e+00;4.000000000000000000e+00;1.000000000000000000e+00
1.090909090909090828e+00;1.181818181818181879e+00;3.000000000000000000e+00;4.000000000000000000e+00;4.000000000000000000e+00;1.380952380952380931e+00;1.380952380952380931e+00;3.000000000000000000e+00;9.000000000000000000e+00;9.000000000000000000e+00;1.000000000000000000e+00
2.093750000000000000e+00;6.875000000000000000e-01;6.000000000000000000e+00;2.300000000000000000e+01;3.000000000000000000e+00;1.333333333333333259e+00;1.333333333333333259e+00;7.000000000000000000e+00;8.000000000000000000e+00;9.000000000000000000e+00;0.000000000000000000e+00
1.333333333333333259e+00;1.333333333333333259e+00;7.000000000000000000e+00;8.000000000000000000e+00;9.000000000000000000e+00;2.093750000000000000e+00;6.875000000000000000e-01;6.000000000000000000e+00;2.300000000000000000e+01;3.000000000000000000e+00;0.000000000000000000e+00
1.560000000000000053e+00;9.599999999999999645e-01;7.000000000000000000e+00;1.400000000000000000e+01;4.000000000000000000e+00;1.565217391304347894e+00;9.565217391304348116e-01;9.000000000000000000e+00;8.000000000000000000e+00;6.000000000000000000e+00;0.000000000000000000e+00
1.565217391304347894e+00;9.565217391304348116e-01;9.000000000000000000e+00;8.000000000000000000e+00;6.000000000000000000e+00;1.560000000000000053e+00;9.599999999999999645e-01;7.000000000000000000e+00;1.400000000000000000e+01;4.000000000000000000e+00;1.000000000000000000e+00
1.250000000000000000e+00;1.100000000000000089e+00;6.000000000000000000e+00;9.000000000000000000e+00;5.000000000000000000e+00;1.148148148148148140e+00;1.148148148148148140e+00;7.000000000000000000e+00;1.100000000000000000e+01;9.000000000000000000e+00;3.000000000000000000e+00
1.148148148148148140e+00;1.148148148148148140e+00;7.000000000000000000e+00;1.100000000000000000e+01;9.000000000000000000e+00;1.250000000000000000e+00;1.100000000000000089e+00;6.000000000000000000e+00;9.000000000000000000e+00;5.000000000000000000e+00;1.000000000000000000e+00
